,sample_id,tADS,PL,v0,t_press,t_depress,CO2_purity,CO2_recovery,n_CO2_feed,n_CO2_product,n_N2_product,n_cycles,status
0,1,105.6461984543516,0.245722911725017,0.0216591133490168,35.0219804891328,49.66407758080575,0.4190867191897511,0.5047317506668454,0.06327592330419,0.0319373675443848,0.0442696943404001,10,ok
1,2,127.8807273830384,0.4763464701909961,0.0420954211282509,19.66421371248521,51.10873750893259,0.3251367412489074,0.3365643284622022,0.1488620170263355,0.0501016447939975,0.1039924283690301,10,ok
2,3,148.1827745232558,0.2665893039971437,0.0470980752513315,57.998896711085074,22.002670227486472,0.4700620567825764,0.2162486363950863,0.192994451802333,0.0417347870340717,0.0470509093051157,10,ok
3,4,113.76531544737176,0.3161462213888474,0.0138090527102052,55.85190232683218,33.95022016571215,0.3815436847460429,0.3203012851778494,0.043442789655331,0.0139147813583135,0.0225549124529606,10,ok
4,5,85.87229121886106,0.3364657521360545,0.0147196978866048,26.17633693074761,45.56867307791512,0.3628147524675372,0.4603189654917285,0.0349539201644212,0.0160899523699668,0.0282576169075709,10,ok
5,6,152.05722547131575,0.2219477871554924,0.0268473914308868,59.67970271046956,38.00043166694941,0.4822630611882599,0.3912644065160894,0.1128893829908473,0.0441695974378814,0.0474185854286455,10,ok
6,7,52.4449576290791,0.4293616906462288,0.0341135633751456,35.2878519005506,50.14978326040299,0.3354758413985397,0.6545339135913889,0.0494737429381225,0.0323822425853036,0.0641440600250655,10,ok
7,8,44.43684163487124,0.2397873815477686,0.0199050128588282,47.93622135434821,30.768485591987183,0.3459136785246441,0.5131290625746903,0.0244596134280469,0.012550938509273,0.0237325023850102,10,ok
8,9,58.272686466141735,0.2013052911800091,0.0305181436101376,45.7793486280157,32.7822395105657,0.4291697789008466,0.5857569200099776,0.0491775734092023,0.0288061039337389,0.0383144281957942,10,ok
9,10,112.80208355414857,0.3853542903477566,0.0267804778640015,46.78387450816413,40.8440971590659,0.3736900556655128,0.3684831477812832,0.083537098431718,0.0307820129866343,0.0515910994897305,10,ok
11,12,63.55799727894647,0.3814021448046659,0.0186684925653234,59.54306013664424,42.11715684453686,0.3616220718139138,0.5327066051989174,0.0328112969996495,0.0174787946368567,0.0308556296121451,10,ok
12,13,125.69023437246956,0.2575378049244732,0.0323673767582062,23.38839988556377,21.243441464380865,0.4872546937731786,0.2288206060375834,0.1125001190071798,0.0257423454105231,0.0270890500372679,10,ok
13,14,156.50517990317934,0.3579019253350433,0.0355996418921897,44.47446763133917,25.756149286148656,0.3921334077891434,0.255552823787411,0.154070072930545,0.0393730421985331,0.0610342207799496,10,ok
14,15,71.76006520447244,0.2289849837895033,0.0456807128442876,31.26780283821596,29.416129238138176,0.4525277113101766,0.508234671148268,0.090648294988636,0.0460706063937006,0.055736653675114,10,ok
16,17,100.23988984297011,0.386053510351931,0.0259946526179697,24.094075946371007,20.469948703837535,0.3700937148219209,0.2722839202031417,0.0720557331771902,0.0196196175025969,0.0333929485498618,10,ok
17,18,109.08248943514349,0.4708541602470138,0.0362600500062235,40.58001549297924,53.97860358889214,0.3272181280322762,0.3867813946662835,0.1093773462359118,0.0423051225220229,0.0869820987466289,10,ok
18,19,147.40125373012404,0.2263160372963329,0.0347347586318643,44.93913496845207,19.608617427732,0.4922546866205287,0.2798111694029293,0.141582444226953,0.0396163492860687,0.0408630252386239,10,ok
19,20,83.35590580640257,0.2382403688340471,0.0168350836047643,22.517432864467807,34.82723780287194,0.4025702627006828,0.4275572582291381,0.0388057065722875,0.0165916615056917,0.0246226631550144,10,ok
20,21,48.113367642388425,0.3944882858446482,0.0439711181720689,58.49434608426706,18.415835157373696,0.3685985130596138,0.3658691716500838,0.058502874908929,0.0214043983820783,0.0366652834633733,10,ok
21,22,150.0355844500933,0.4317435186888541,0.0408206631668057,45.19724087215323,54.94782182466088,0.3491279474659509,0.3419831784134188,0.1693628967032631,0.0579192617198854,0.1079776884964363,10,ok
